Incidence, US by State, All Races, Colon & Rectum (Both Sexes), 2013 - 2017
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Kentucky","21","48.3","47.4","49.1","12600"
"Mississippi","28","47.9","46.9","49.0","8264"
"West Virginia","54","46.5","45.3","47.8","5717"
"Louisiana","22","45.1","44.3","46.0","11831"
"Arkansas","5","44.1","43.1","45.1","7836"
"Iowa","19","43.7","42.8","44.7","8302"
"Alabama","1","43.6","42.8","44.3","12663"
"North Dakota","38","43.1","41.1","45.2","1800"
"Nebraska","31","42.7","41.4","44.0","4609"
"Indiana","18","42.6","42.0","43.3","16127"
"Alaska","2","42.6","40.2","45.0","1424"
"Illinois","17","42.5","42.0","43.0","31207"
"South Dakota","46","41.8","40.0","43.7","2117"
"Oklahoma","40","41.7","40.9","42.6","9210"
"Ohio","39","41.4","40.9","41.9","29377"
"Hawaii","15","41.3","39.9","42.7","3601"
"Georgia","13","41.3","40.8","41.9","22127"
"Pennsylvania","42","41.1","40.7","41.6","33980"
"New Jersey","34","40.8","40.2","41.3","21712"
"Missouri","29","40.5","39.9","41.2","14777"
"Tennessee","47","40.0","39.4","40.7","15555"
"Kansas","20","39.1","38.2","40.1","6432"
"New York","36","38.7","38.4","39.1","45136"
"District of Columbia","11","38.4","36.3","40.6","1249"
"Montana","30","38.3","36.8","39.9","2514"
"Minnesota","27","38.0","37.4","38.8","11974"
"Delaware","10","37.9","36.3","39.5","2218"
"South Carolina","45","37.8","37.1","38.6","11192"
"Texas","48","37.6","37.2","37.9","50516"
"Michigan","26","37.5","37.0","38.0","22660"
"North Carolina","37","37.0","36.5","37.5","21589"
"Maine","23","36.7","35.5","38.0","3403"
"Wisconsin","55","36.6","36.0","37.3","12711"
"New Hampshire","33","36.6","35.3","37.9","3098"
"Maryland","24","36.4","35.7","37.0","12353"
"Florida","12","36.3","36.0","36.6","50449"
"Nevada","32","36.0","35.1","37.0","5817"
"Washington","53","35.5","34.9","36.1","14275"
"Connecticut","9","35.3","34.5","36.1","7892"
"Idaho","16","35.3","34.0","36.6","3235"
"Virginia","51","35.2","34.7","35.8","16573"
"Massachusetts","25","35.2","34.6","35.8","14287"
"California","6","35.1","34.9","35.4","73024"
"Oregon","41","34.6","33.9","35.4","8446"
"Vermont","50","34.4","32.5","36.3","1414"
"Rhode Island","44","33.6","32.2","35.1","2214"
"Colorado","8","33.2","32.5","33.9","9466"
"New Mexico","35","33.1","32.1","34.2","4112"
"Arizona","4","32.6","32.0","33.1","13153"
"Wyoming","56","32.5","30.6","34.6","1071"
"Utah","49","29.8","28.8","30.7","3763"