Mortality, US by State, All Races, Colon and Rectum (Both Sexes), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Mississippi","28","18.01","17.37","18.66","3146"
"West Virginia","54","17.48","16.74","18.25","2210"
"Oklahoma","40","16.71","16.17","17.26","3771"
"Kentucky","21","16.55","16.05","17.06","4378"
"Louisiana","22","16.37","15.88","16.87","4362"
"Nevada","32","15.86","15.24","16.50","2569"
"South Dakota","46","15.69","14.62","16.83","846"
"Arkansas","5","15.59","15.01","16.18","2845"
"Alabama","1","15.46","15.01","15.92","4568"
"District of Columbia","11","15.15","13.83","16.56","506"
"Ohio","39","15.14","14.85","15.43","11066"
"Indiana","18","15.08","14.69","15.48","5853"
"Tennessee","47","15.05","14.66","15.44","5978"
"Alaska","2","15.05","13.61","16.59","461"
"Georgia","13","14.89","14.56","15.23","7923"
"Nebraska","31","14.73","14.02","15.48","1662"
"Illinois","17","14.71","14.43","14.99","11079"
"Kansas","20","14.65","14.07","15.24","2512"
"Vermont","50","14.63","13.46","15.89","612"
"Pennsylvania","42","14.54","14.28","14.80","12609"
"Missouri","29","14.48","14.09","14.87","5471"
"Iowa","19","14.39","13.86","14.94","2901"
"South Carolina","45","13.96","13.54","14.40","4244"
"Texas","48","13.92","13.72","14.12","18844"
"New Jersey","34","13.73","13.41","14.04","7585"
"Michigan","26","13.71","13.42","14.02","8564"
"Maryland","24","13.70","13.30","14.10","4748"
"Virginia","51","13.62","13.28","13.96","6496"
"North Carolina","37","13.33","13.03","13.63","7940"
"New Mexico","35","13.30","12.65","13.97","1670"
"Delaware","10","13.27","12.35","14.24","811"
"Montana","30","13.14","12.27","14.06","894"
"North Dakota","38","13.03","11.95","14.18","572"
"Idaho","16","13.01","12.28","13.78","1227"
"Florida","12","12.89","12.71","13.08","19225"
"Maine","23","12.88","12.15","13.64","1237"
"Wisconsin","55","12.79","12.41","13.17","4611"
"Oregon","41","12.76","12.32","13.22","3219"
"Arizona","4","12.62","12.28","12.97","5347"
"New York","36","12.60","12.40","12.80","15265"
"New Hampshire","33","12.52","11.77","13.31","1098"
"California","6","12.50","12.35","12.65","26554"
"Rhode Island","44","12.34","11.51","13.23","854"
"Minnesota","27","12.21","11.83","12.60","4006"
"Washington","53","12.11","11.77","12.46","4993"
"Wyoming","56","11.97","10.80","13.24","402"
"Hawaii","15","11.78","11.07","12.52","1102"
"Colorado","8","11.78","11.38","12.20","3373"
"Massachusetts","25","11.59","11.27","11.93","4942"
"Utah","49","10.94","10.36","11.54","1377"
"Connecticut","9","10.69","10.27","11.13","2515"