Mortality, US by State, All Races, Leukemia: Total (Both Sexes), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Oklahoma","40","7.52","7.16","7.89","1662"
"West Virginia","54","7.38","6.90","7.89","912"
"Kansas","20","7.19","6.78","7.61","1225"
"Kentucky","21","7.04","6.71","7.38","1805"
"Nebraska","31","6.98","6.49","7.50","783"
"North Dakota","38","6.95","6.17","7.80","306"
"Indiana","18","6.90","6.63","7.17","2596"
"Missouri","29","6.89","6.62","7.17","2539"
"Wisconsin","55","6.84","6.56","7.12","2425"
"Minnesota","27","6.83","6.55","7.13","2212"
"Arkansas","5","6.79","6.41","7.19","1215"
"Delaware","10","6.75","6.10","7.45","410"
"Michigan","26","6.74","6.53","6.95","4081"
"Idaho","16","6.72","6.19","7.28","615"
"Ohio","39","6.69","6.50","6.88","4796"
"Mississippi","28","6.68","6.29","7.10","1115"
"Iowa","19","6.64","6.28","7.01","1333"
"Tennessee","47","6.62","6.36","6.89","2559"
"Rhode Island","44","6.59","5.98","7.26","444"
"Utah","49","6.58","6.13","7.05","819"
"Pennsylvania","42","6.54","6.36","6.72","5605"
"Louisiana","22","6.43","6.12","6.76","1628"
"South Carolina","45","6.41","6.12","6.72","1884"
"Vermont","50","6.40","5.64","7.25","268"
"Alabama","1","6.40","6.10","6.70","1846"
"Illinois","17","6.35","6.16","6.53","4641"
"South Dakota","46","6.29","5.62","7.03","336"
"Wyoming","56","6.28","5.44","7.21","211"
"Washington","53","6.22","5.98","6.48","2485"
"Maine","23","6.22","5.72","6.77","590"
"Florida","12","6.19","6.06","6.33","9131"
"Oregon","41","6.16","5.85","6.48","1519"
"North Carolina","37","6.14","5.94","6.35","3547"
"Texas","48","6.12","5.99","6.26","7920"
"Nevada","32","6.05","5.66","6.45","946"
"Maryland","24","6.03","5.77","6.30","2034"
"New Jersey","34","6.01","5.80","6.23","3231"
"New York","36","5.99","5.85","6.14","7104"
"Connecticut","9","5.95","5.63","6.29","1367"
"Georgia","13","5.95","5.74","6.17","3026"
"Virginia","51","5.91","5.69","6.14","2739"
"Massachusetts","25","5.87","5.63","6.11","2456"
"California","6","5.86","5.75","5.97","12084"
"Arizona","4","5.85","5.62","6.09","2424"
"Montana","30","5.84","5.27","6.47","392"
"New Hampshire","33","5.84","5.32","6.39","499"
"Colorado","8","5.75","5.47","6.05","1597"
"Alaska","2","5.55","4.69","6.51","165"
"New Mexico","35","5.05","4.66","5.47","625"
"District of Columbia","11","4.78","4.05","5.61","159"
"Hawaii","15","4.61","4.16","5.09","417"