Mortality, US by State, All Races, Non-Hodgkin Lymphoma (Both Sexes), 2014 - 2018
Area,State FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Oklahoma","40","6.11","5.79","6.45","1368"
"Michigan","26","6.10","5.90","6.30","3767"
"Idaho","16","6.09","5.59","6.61","571"
"Kentucky","21","6.09","5.79","6.41","1591"
"Indiana","18","6.09","5.84","6.34","2329"
"Ohio","39","6.04","5.86","6.22","4394"
"Iowa","19","6.03","5.69","6.38","1220"
"Tennessee","47","6.01","5.76","6.26","2348"
"Oregon","41","5.95","5.64","6.26","1496"
"West Virginia","54","5.94","5.52","6.39","763"
"Maine","23","5.90","5.41","6.42","565"
"Pennsylvania","42","5.86","5.70","6.03","5096"
"Vermont","50","5.83","5.11","6.64","242"
"Minnesota","27","5.78","5.51","6.05","1881"
"Louisiana","22","5.75","5.45","6.05","1468"
"Wisconsin","55","5.70","5.45","5.96","2048"
"Delaware","10","5.65","5.06","6.30","344"
"Kansas","20","5.64","5.28","6.01","968"
"North Dakota","38","5.59","4.91","6.35","252"
"Washington","53","5.59","5.36","5.83","2263"
"Alaska","2","5.50","4.64","6.47","166"
"Nebraska","31","5.47","5.04","5.93","617"
"Missouri","29","5.45","5.21","5.69","2060"
"Montana","30","5.44","4.89","6.04","369"
"Illinois","17","5.41","5.24","5.59","4019"
"South Dakota","46","5.36","4.74","6.04","287"
"Arkansas","5","5.30","4.97","5.65","967"
"New Jersey","34","5.29","5.09","5.49","2868"
"Massachusetts","25","5.28","5.05","5.51","2213"
"Utah","49","5.25","4.85","5.68","645"
"New Hampshire","33","5.23","4.75","5.75","451"
"Rhode Island","44","5.20","4.66","5.78","365"
"Connecticut","9","5.19","4.90","5.50","1215"
"Wyoming","56","5.19","4.43","6.05","172"
"New York","36","5.18","5.05","5.31","6212"
"Virginia","51","5.18","4.98","5.40","2422"
"Texas","48","5.18","5.05","5.30","6698"
"California","6","5.17","5.07","5.27","10773"
"Maryland","24","5.17","4.92","5.42","1756"
"North Carolina","37","5.13","4.94","5.31","3005"
"South Carolina","45","5.11","4.86","5.38","1524"
"Georgia","13","5.08","4.89","5.29","2602"
"Florida","12","5.03","4.92","5.15","7617"
"Alabama","1","5.02","4.76","5.29","1476"
"Mississippi","28","5.01","4.68","5.37","851"
"Nevada","32","4.93","4.58","5.29","780"
"New Mexico","35","4.82","4.44","5.23","615"
"Arizona","4","4.67","4.47","4.88","1997"
"Colorado","8","4.59","4.33","4.85","1272"
"District of Columbia","11","4.48","3.76","5.29","143"
"Hawaii","15","4.47","4.04","4.93","424"