Screening and Risk Factors, US by County (UV Only), UV Exposure Data, Ultraviolet Exposure
"Toombs, Georgia","13279","4593"
"Tattnall, Georgia","13267","4592"
"Butts, Georgia","13035","4592"
"Treutlen, Georgia","13283","4592"
"Evans, Georgia","13109","4592"
"Howard, Arkansas","5061","4591"
"Spalding, Georgia","13255","4591"
"Bulloch, Georgia","13031","4591"
"Colorado, Texas","48089","4590"
"Sharkey, Mississippi","28125","4590"
"Osborne, Kansas","20141","4590"
"Baldwin, Georgia","13009","4590"
"Troup, Georgia","13285","4590"
"Columbia, Arkansas","5027","4590"
"Hampton, South Carolina","45049","4590"
"Calcasieu, Louisiana","22019","4589"
"Issaquena, Mississippi","28055","4589"
"Tyler, Texas","48457","4589"
"Candler, Georgia","13043","4589"
"Walker, Texas","48471","4589"
"Claiborne, Louisiana","22027","4589"
"Adams, Colorado","8001","4588"
"Johnson, Georgia","13167","4588"
"Kay, Oklahoma","40071","4588"
"Phillips, Kansas","20147","4588"
"Elmore, Alabama","1051","4588"
"Refugio, Texas","48391","4588"
"Jasper, Georgia","13159","4587"
"Dorchester, South Carolina","45035","4587"
"Emanuel, Georgia","13107","4587"
"East Carroll, Louisiana","22035","4587"
"Okaloosa, Florida","12091","4587"
"Lincoln, Louisiana","22061","4586"
"Winn, Louisiana","22127","4586"
"Humphreys, Mississippi","28053","4586"
"Yazoo, Mississippi","28163","4586"
"Jefferson, Colorado","8059","4585"
"West Carroll, Louisiana","22123","4585"
"Allen, Louisiana","22003","4585"
"Screven, Georgia","13251","4585"
"Berkeley, South Carolina","45015","4585"
"Washington, Georgia","13303","4584"
"Jackson, Louisiana","22049","4584"
"McIntosh, Oklahoma","40091","4584"
"Chambers, Alabama","1017","4584"
"Washington, Mississippi","28151","4584"
"Putnam, Georgia","13237","4583"
"Ouachita, Louisiana","22073","4583"
"Polk, Texas","48373","4583"
"Morehouse, Louisiana","22067","4583"
"Madison, Louisiana","22065","4583"
"Nevada, Arkansas","5099","4583"
"Union, Louisiana","22111","4583"
"Warren, Mississippi","28149","4583"
"Richland, Louisiana","22083","4582"
"Jenkins, Georgia","13165","4582"
"Chicot, Arkansas","5017","4582"
"Lowndes, Alabama","1085","4582"
"Red Willow, Nebraska","31145","4582"
"Grant, Louisiana","22043","4582"
"Union, Arkansas","5139","4581"
"Ellsworth, Kansas","20053","4581"
"Jefferson Davis, Louisiana","22053","4581"
"Creek, Oklahoma","40037","4580"
"Henry, Georgia","13151","4580"
"Butler, Alabama","1013","4579"
"Hinds, Mississippi","28049","4579"
"Allendale, South Carolina","45005","4579"
"Ashley, Arkansas","5003","4579"
"Fayette, Georgia","13113","4578"
"Le Flore, Oklahoma","40079","4578"
"Caldwell, Louisiana","22021","4578"
"Jefferson, Georgia","13163","4577"
"Sweetwater, Wyoming","56037","4577"
"Pawnee, Oklahoma","40117","4577"
"Hancock, Georgia","13141","4577"
"Glenn, California","6021","4576"
"Rapides, Louisiana","22079","4576"
"Franklin, Louisiana","22041","4576"
"Ouachita, Arkansas","5103","4576"
"Sunflower, Mississippi","28133","4575"
"Haskell, Oklahoma","40061","4575"
"Wasatch, Utah","49051","4575"
"Burke, Georgia","13033","4574"
"Tallapoosa, Alabama","1123","4574"
"Okmulgee, Oklahoma","40111","4573"
"Coweta, Georgia","13077","4573"
"Madison, Mississippi","28089","4573"
"Leflore, Mississippi","28083","4572"
"Newton, Georgia","13217","4572"
"Glascock, Georgia","13125","4572"
"Tensas, Louisiana","22107","4572"
"Pike, Arkansas","5109","4572"
"Calhoun, Arkansas","5013","4571"
"La Salle, Louisiana","22059","4571"
"Georgetown, South Carolina","45043","4571"
"Cameron, Louisiana","22023","4571"
"Bradley, Arkansas","5011","4571"
"Holmes, Mississippi","28051","4571"
"Bamberg, South Carolina","45009","4571"
"Bolivar, Mississippi","28011","4570"
"Clayton, Georgia","13063","4570"
"Claiborne, Mississippi","28021","4569"
"Salt Lake, Utah","49035","4569"
"Austin, Texas","48015","4569"
"Drew, Arkansas","5043","4569"
"Polk, Arkansas","5113","4568"
"Morgan, Georgia","13211","4568"
"Desha, Arkansas","5041","4566"
"Clark, Arkansas","5019","4566"
"Warren, Georgia","13301","4565"
"Evangeline, Louisiana","22039","4565"
"Barnwell, South Carolina","45011","4565"
"Orange, Texas","48361","4565"
"Furnas, Nebraska","31065","4564"
"Greene, Georgia","13133","4564"
"Catahoula, Louisiana","22025","4564"
"Autauga, Alabama","1001","4563"
"Rockdale, Georgia","13247","4563"
"Morgan, Colorado","8087","4563"
"Williamsburg, South Carolina","45089","4563"
"Richmond, Georgia","13245","4563"
"Orangeburg, South Carolina","45075","4562"
"Rankin, Mississippi","28121","4562"
"Acadia, Louisiana","22001","4562"
"Tehama, California","6103","4561"
"Taliaferro, Georgia","13265","4561"
"McDuffie, Georgia","13189","4561"
"Heard, Georgia","13149","4560"
"Lincoln, Kansas","20105","4559"
"Copiah, Mississippi","28029","4559"
"Shasta, California","6089","4559"
"Clarendon, South Carolina","45027","4558"
"Columbia, Georgia","13073","4557"
"Cleveland, Arkansas","5025","4557"
"Sedgwick, Kansas","20173","4557"
"Dallas, Arkansas","5039","4557"
"Tallahatchie, Mississippi","28135","4557"
"Carroll, Mississippi","28015","4556"
"Lincoln, Arkansas","5079","4556"
"Aransas, Texas","48007","4556"
"Lake, Oregon","41037","4555"
"Jackson, Texas","48239","4555"
"Chase, Nebraska","31029","4554"
"Coahoma, Mississippi","28027","4554"
"Jefferson, Mississippi","28063","4554"
"Davis, Utah","49011","4553"
"Vermilion, Louisiana","22113","4552"
"San Jacinto, Texas","48407","4552"
"Concordia, Louisiana","22029","4552"
"Quitman, Mississippi","28119","4551"
"Santa Rosa, Florida","12113","4551"
"Avoyelles, Louisiana","22009","4551"
"Conecuh, Alabama","1035","4551"
"Scott, Arkansas","5127","4550"
"Hardin, Texas","48199","4550"
"Aiken, South Carolina","45003","4549"
"Calhoun, South Carolina","45017","4549"
"Walton, Georgia","13297","4549"
"Sebastian, Arkansas","5131","4548"
"Smith, Kansas","20183","4548"
"Muskogee, Oklahoma","40101","4548"
"Montgomery, Arkansas","5097","4548"
"Wilkes, Georgia","13317","4548"
"Phillips, Colorado","8095","4547"
"Arkansas, Arkansas","5001","4547"
"Lincoln, Georgia","13181","4547"
"Elko, Nevada","32007","4546"
"Oconee, Georgia","13219","4546"
"Grenada, Mississippi","28043","4546"
"Phillips, Arkansas","5107","4546"
"DeKalb, Georgia","13089","4546"
"Hot Spring, Arkansas","5059","4546"
"Coosa, Alabama","1037","4545"
"Simpson, Mississippi","28127","4545"
"Adams, Mississippi","28001","4544"
"Oglethorpe, Georgia","13221","4542"
"Jefferson, Arkansas","5069","4542"
"Harlan, Nebraska","31083","4541"
"Sumter, South Carolina","45085","4541"
"St. Landry, Louisiana","22097","4541"
"Grant, Arkansas","5053","4541"
"Lafayette, Louisiana","22055","4541"
"Attala, Mississippi","28007","4541"
"Dallas, Alabama","1047","4540"
"Horry, South Carolina","45051","4540"
"Florence, South Carolina","45041","4540"
"Routt, Colorado","8107","4540"
"Edgefield, South Carolina","45037","4540"
"Montgomery, Mississippi","28097","4539"
"McCormick, South Carolina","45065","4539"
"Randolph, Alabama","1111","4539"
"Hayes, Nebraska","31085","4539"
"Calhoun, Texas","48057","4538"
"Leake, Mississippi","28079","4538"
"Lincoln, Mississippi","28085","4537"
"Waller, Texas","48473","4537"
"Sequoyah, Oklahoma","40135","4537"
"Franklin, Mississippi","28037","4537"
"Lafourche, Louisiana","22057","4536"
"Tunica, Mississippi","28143","4536"
"Lawrence, Mississippi","28077","4536"
"Plaquemines, Louisiana","22075","4536"
"Jefferson, Louisiana","22051","4536"
"Yalobusha, Mississippi","28161","4535"
"Panola, Mississippi","28107","4535"
"Escambia, Alabama","1053","4535"
"Scott, Mississippi","28123","4535"
"Marion, South Carolina","45067","4535"
"St. Charles, Louisiana","22089","4534"
"Fulton, Georgia","13121","4534"
"Clarke, Georgia","13059","4534"
"Garland, Arkansas","5051","4533"
"Monroe, Arkansas","5095","4533"
"McPherson, Kansas","20113","4533"
"Terrebonne, Louisiana","22109","4533"
"Mitchell, Kansas","20123","4532"
"Uinta, Wyoming","56041","4532"
"Douglas, Georgia","13097","4531"
"Lee, Arkansas","5077","4530"
"Jefferson, Texas","48245","4530"
"Chilton, Alabama","1021","4529"
"Wilcox, Alabama","1131","4529"
"Lexington, South Carolina","45063","4529"
"Orleans, Louisiana","22071","4528"
"Iberia, Louisiana","22045","4528"
"Richland, South Carolina","45079","4528"
"Harvey, Kansas","20079","4527"
"Lee, South Carolina","45061","4527"
"Summit, Colorado","8117","4527"
"Yell, Arkansas","5149","4526"
"Carroll, Georgia","13045","4525"
"St. Bernard, Louisiana","22087","4525"
"St. Mary, Louisiana","22101","4525"
"Wilkinson, Mississippi","28157","4525"
"Tate, Mississippi","28137","4525"
"St. John the Baptist, Louisiana","22095","4524"
"Logan, Arkansas","5083","4524"
"Saluda, South Carolina","45081","4524"
"St. Martin, Louisiana","22099","4524"
"Jefferson Davis, Mississippi","28065","4524"
"Barrow, Georgia","13013","4524"
"Logan, Colorado","8075","4524"
"Tulsa, Oklahoma","40143","4523"
"Saline, Arkansas","5125","4522"
"Smith, Mississippi","28129","4522"
"Montgomery, Texas","48339","4522"
"Elbert, Georgia","13105","4522"
"Wharton, Texas","48481","4522"
"Pointe Coupee, Louisiana","22077","4522"
"Frontier, Nebraska","31063","4522"
"Pike, Mississippi","28113","4521"
"Prairie, Arkansas","5117","4521"
"Gwinnett, Georgia","13135","4521"
"Monroe, Alabama","1099","4520"
"Amite, Mississippi","28005","4520"
"Lonoke, Arkansas","5085","4520"
"St. Francis, Arkansas","5123","4519"
"Darlington, South Carolina","45031","4519"
"St. James, Louisiana","22093","4519"
"Wagoner, Oklahoma","40145","4518"
"Osage, Oklahoma","40113","4518"
"Greenwood, South Carolina","45047","4518"
"Calhoun, Mississippi","28013","4518"
"Clay, Alabama","1027","4518"
"Webster, Mississippi","28155","4518"
"Escambia, Florida","12033","4518"
"Assumption, Louisiana","22007","4518"
"Walthall, Mississippi","28147","4517"
"West Feliciana, Louisiana","22125","4517"
"St. Tammany, Louisiana","22103","4517"
"DeSoto, Mississippi","28033","4517"
"Choctaw, Mississippi","28019","4517"
"Franklin, Nebraska","31061","4516"
"Madison, Georgia","13195","4516"
"Pulaski, Arkansas","5119","4516"
"Tangipahoa, Louisiana","22105","4516"
"Marion, Mississippi","28091","4515"
"Dillon, South Carolina","45033","4515"
"Weld, Colorado","8123","4514"
"Lafayette, Mississippi","28071","4514"
"Perry, Arkansas","5105","4514"
"Perry, Alabama","1105","4513"
"Abbeville, South Carolina","45001","4513"
"Washington, Louisiana","22117","4513"
"Covington, Mississippi","28031","4513"
"Livingston, Louisiana","22063","4512"
"Brunswick, North Carolina","37019","4512"
"Saline, Kansas","20169","4511"
"Iberville, Louisiana","22047","4511"
"Summit, Utah","49043","4511"
"Cowley, Kansas","20035","4511"
"Ascension, Louisiana","22005","4511"
"Kershaw, South Carolina","45055","4511"
"Columbus, North Carolina","37047","4511"
"Sedgwick, Colorado","8115","4511"
"Gosper, Nebraska","31073","4510"
"St. Helena, Louisiana","22091","4510"
"Jackson, Georgia","13157","4509"
"Liberty, Texas","48291","4509"
"Crittenden, Arkansas","5035","4508"
"Sonoma, California","6097","4508"
"Newberry, South Carolina","45071","4508"
"Crawford, Arkansas","5033","4508"
"East Feliciana, Louisiana","22037","4507"
"Woodruff, Arkansas","5147","4507"
"Cobb, Georgia","13067","4507"
"Neshoba, Mississippi","28099","4506"
"West Baton Rouge, Louisiana","22121","4506"
"Franklin, Arkansas","5047","4505"
"Boulder, Colorado","8013","4505"
"Hancock, Mississippi","28045","4504"
"Winston, Mississippi","28159","4504"
"Cross, Arkansas","5037","4503"
"East Baton Rouge, Louisiana","22033","4503"
"Talladega, Alabama","1121","4503"
"Perkins, Nebraska","31135","4503"
"Marlboro, South Carolina","45069","4503"
"Fairfield, South Carolina","45039","4502"
"Pearl River, Mississippi","28109","4501"
"Newton, Mississippi","28101","4501"
"Oktibbeha, Mississippi","28105","4500"
"Shelby, Tennessee","47157","4499"
"Lamar, Mississippi","28073","4499"
"Cherokee, Oklahoma","40021","4499"
"Bibb, Alabama","1007","4499"
"Marshall, Mississippi","28093","4499"
"Faulkner, Arkansas","5045","4498"
"Morgan, Utah","49029","4497"
"Chickasaw, Mississippi","28017","4497"
"Jewell, Kansas","20089","4496"
"Phelps, Nebraska","31137","4496"
"Weber, Utah","49057","4496"
"Clay, Mississippi","28025","4495"
"Marengo, Alabama","1091","4495"
"White, Arkansas","5145","4495"
"Chesterfield, South Carolina","45025","4495"
"Conway, Arkansas","5029","4495"
"Robeson, North Carolina","37155","4494"
"Jasper, Mississippi","28061","4494"
"Pontotoc, Mississippi","28115","4493"
"Hale, Alabama","1065","4493"
"Baldwin, Alabama","1003","4492"
"Shelby, Alabama","1117","4492"
"Paulding, Georgia","13223","4492"
"Jones, Mississippi","28067","4491"
"Laurens, South Carolina","45059","4491"
"Hart, Georgia","13147","4491"
"Noxubee, Mississippi","28103","4489"
"New Hanover, North Carolina","37129","4489"
"Grand, Colorado","8049","4489"
"Forrest, Mississippi","28035","4488"
"Chambers, Texas","48071","4488"
"Clear Creek, Colorado","8019","4488"
"Adair, Oklahoma","40001","4488"
"Clarke, Alabama","1025","4488"
"Poinsett, Arkansas","5111","4487"
"Cleburne, Alabama","1029","4486"
"Harrison, Mississippi","28047","4486"
"Ottawa, Kansas","20143","4486"
"Kemper, Mississippi","28069","4485"
"Bladen, North Carolina","37017","4485"
"Haralson, Georgia","13143","4485"
"Gilpin, Colorado","8047","4485"
"Franklin, Georgia","13119","4484"
"Webster, Nebraska","31181","4484"
"Greene, Alabama","1063","4484"
"Pope, Arkansas","5115","4483"
"Lowndes, Mississippi","28087","4483"
"Jackson, Arkansas","5067","4483"
"Union, Mississippi","28145","4483"
"Scotland, North Carolina","37165","4483"
"Deuel, Nebraska","31049","4482"
"Johnson, Arkansas","5071","4482"
"Sumter, Alabama","1119","4482"
"Lancaster, South Carolina","45057","4482"
"Matagorda, Texas","48321","4481"
"Box Elder, Utah","49003","4481"
"Harney, Oregon","41025","4481"
"Rogers, Oklahoma","40131","4481"
"Chester, South Carolina","45023","4480"
"Fort Bend, Texas","48157","4480"
"Stone, Mississippi","28131","4480"
"Benton, Mississippi","28009","4479"
"Kearney, Nebraska","31099","4478"
"Lauderdale, Mississippi","28075","4478"
"Banks, Georgia","13011","4478"
"Fayette, Tennessee","47047","4477"
"Perry, Mississippi","28111","4477"
"Union, South Carolina","45087","4477"
"Anderson, South Carolina","45007","4476"
"Choctaw, Alabama","1023","4476"
"Clarke, Mississippi","28023","4475"
"Monroe, Mississippi","28095","4475"
"Harris, Texas","48201","4475"
"Lee, Mississippi","28081","4474"
"Tipton, Tennessee","47167","4474"
"Forsyth, Georgia","13117","4474"
"Pickens, Alabama","1107","4474"
"Mayes, Oklahoma","40097","4473"
"Anson, North Carolina","37007","4472"
"Carbon, Wyoming","56007","4472"
"Tuscaloosa, Alabama","1125","4471"
"Butler, Kansas","20015","4471"
"Wayne, Mississippi","28153","4471"
"Washington, Oklahoma","40147","4471"
"Richmond, North Carolina","37153","4471"
"Jackson, Mississippi","28059","4471"
"Washington, Alabama","1129","4470"
"Pender, North Carolina","37141","4470"
"Cleburne, Arkansas","5023","4469"
"Craighead, Arkansas","5031","4469"
"Independence, Arkansas","5063","4469"
"Hall, Georgia","13139","4469"
"Hoke, North Carolina","37093","4468"
"Mississippi, Arkansas","5093","4467"
"Cheyenne, Nebraska","31033","4467"
"Mobile, Alabama","1097","4466"
"Calhoun, Alabama","1015","4466"
"Tippah, Mississippi","28139","4465"
"Marion, Kansas","20115","4465"
"Greene, Mississippi","28041","4465"
"Chautauqua, Kansas","20019","4464"
"George, Mississippi","28039","4464"
"Lake, California","6033","4463"
"Polk, Georgia","13233","4462"
"Van Buren, Arkansas","5141","4462"
"Union, North Carolina","37179","4461"
"Rich, Utah","49033","4461"
"Cumberland, North Carolina","37051","4461"
"Washington, Arkansas","5143","4461"
"Dawson, Nebraska","31047","4460"
"Cloud, Kansas","20029","4460"
"Lamar, Alabama","1075","4459"
"Keith, Nebraska","31101","4458"
"Cherokee, Georgia","13057","4457"
"Itawamba, Mississippi","28057","4456"
"Lawrence, Arkansas","5075","4456"
"Jefferson, Alabama","1073","4456"
"Kimball, Nebraska","31105","4455"
"St. Clair, Alabama","1115","4454"
"Hardeman, Tennessee","47069","4453"
"Stephens, Georgia","13257","4453"
"Lauderdale, Tennessee","47097","4453"
"Fremont, Wyoming","56013","4453"
"Galveston, Texas","48167","4453"
"Prentiss, Mississippi","28117","4452"
"York, South Carolina","45091","4452"
"Adams, Nebraska","31001","4452"
"Brazoria, Texas","48039","4451"
"Sampson, North Carolina","37163","4451"
"Jackson, Colorado","8057","4451"
"Lincoln, Nebraska","31111","4451"
"Haywood, Tennessee","47075","4450"
"Fayette, Alabama","1057","4449"
"Stone, Arkansas","5137","4449"
"Delaware, Oklahoma","40041","4448"
"Nowata, Oklahoma","40105","4448"
"Greene, Arkansas","5055","4447"
"Moore, North Carolina","37125","4447"
"Klamath, Oregon","41035","4447"
"Nuckolls, Nebraska","31129","4446"
"Dickinson, Kansas","20041","4445"
"Buffalo, Nebraska","31019","4445"
"Izard, Arkansas","5065","4444"
"Bartow, Georgia","13015","4444"
"Alcorn, Mississippi","28003","4444"
"Searcy, Arkansas","5129","4443"
"Owyhee, Idaho","16073","4443"
"Sharp, Arkansas","5135","4442"
"Montgomery, North Carolina","37123","4442"
"Elk, Kansas","20049","4440"
"Stanly, North Carolina","37167","4439"
"Larimer, Colorado","8069","4439"
"Walker, Alabama","1127","4439"
"Madison, Arkansas","5087","4439"
"Duplin, North Carolina","37061","4438"
"Harnett, North Carolina","37085","4438"
"Newton, Arkansas","5101","4438"
"Spartanburg, South Carolina","45083","4438"
"Benton, Arkansas","5007","4437"
"Cache, Utah","49005","4436"
"Lee, North Carolina","37105","4436"
"Randolph, Arkansas","5121","4434"
"Banner, Nebraska","31007","4434"
"Cherokee, South Carolina","45021","4434"
"Republic, Kansas","20157","4433"
"Craig, Oklahoma","40035","4433"
"Marion, Alabama","1093","4432"
"Marion, Arkansas","5089","4432"
"Baxter, Arkansas","5005","4432"
"Mecklenburg, North Carolina","37119","4431"
"McNairy, Tennessee","47109","4431"
"Onslow, North Carolina","37133","4430"
"Lincoln, Wyoming","56023","4430"
"Dunklin, Missouri","29069","4430"
"Crockett, Tennessee","47033","4429"
"Tishomingo, Mississippi","28141","4429"
"Morrill, Nebraska","31123","4428"
"Montgomery, Kansas","20125","4427"
"Clay, Arkansas","5021","4427"
"Pemiscot, Missouri","29155","4427"
"Fulton, Arkansas","5049","4426"
"Scotts Bluff, Nebraska","31157","4426"
"Dawson, Georgia","13085","4426"
"Dyer, Tennessee","47045","4425"
"Greenville, South Carolina","45045","4424"
"Garden, Nebraska","31069","4424"
"Boone, Arkansas","5009","4424"
"Cabarrus, North Carolina","37025","4424"
"Madison, Tennessee","47113","4424"
"Oconee, South Carolina","45073","4423"
"Etowah, Alabama","1055","4422"
"Laramie, Wyoming","56021","4422"
"Floyd, Georgia","13115","4422"
"Chester, Tennessee","47023","4422"
"Chatham, North Carolina","37037","4422"
"Carroll, Arkansas","5015","4422"
"Sublette, Wyoming","56035","4421"
"Malheur, Oregon","41045","4420"
"Hall, Nebraska","31079","4420"
"McDonald, Missouri","29119","4419"
"Cherokee, Alabama","1019","4419"
"Ottawa, Oklahoma","40115","4418"
"Clay, Nebraska","31035","4418"
"Habersham, Georgia","13137","4417"
"Blount, Alabama","1009","4416"
"Clay, Kansas","20027","4415"
"Franklin, Alabama","1059","4415"
"Gaston, North Carolina","37071","4414"
"Canyon, Idaho","16027","4414"
"Pickens, South Carolina","45077","4414"
"Randolph, North Carolina","37151","4413"
"Chase, Kansas","20017","4413"
"Ada, Idaho","16001","4413"
"Johnston, North Carolina","37101","4413"
"Winston, Alabama","1133","4411"
"Greenwood, Kansas","20073","4411"
"Taney, Missouri","29213","4409"
"Hardin, Tennessee","47071","4409"
"Pickens, Georgia","13227","4409"
"Ozark, Missouri","29153","4409"
"Wayne, North Carolina","37191","4409"
"Lake, Tennessee","47095","4408"
"Colbert, Alabama","1033","4408"
"Gibson, Tennessee","47053","4407"
"Ripley, Missouri","29181","4407"
"Arthur, Nebraska","31005","4407"
"Wake, North Carolina","37183","4406"
"Twin Falls, Idaho","16083","4406"
"Oregon, Missouri","29149","4405"
"Lumpkin, Georgia","13187","4405"
"Labette, Kansas","20099","4405"
"Durham, North Carolina","37063","4404"
"Alamance, North Carolina","37001","4403"
"Jones, North Carolina","37103","4403"
"Thayer, Nebraska","31169","4402"
"Franklin, Idaho","16041","4402"
"Cullman, Alabama","1043","4402"
"Wilson, Kansas","20205","4402"
"Orange, North Carolina","37135","4402"
"Sherman, Nebraska","31163","4401"
"Lenoir, North Carolina","37107","4401"
"Barry, Missouri","29009","4401"
"Stone, Missouri","29209","4400"
"Butler, Missouri","29023","4400"
"White, Georgia","13311","4400"
"Goshen, Wyoming","56015","4399"
"Newton, Missouri","29145","4398"
"Rowan, North Carolina","37159","4397"
"Gordon, Georgia","13129","4397"
"Henderson, Tennessee","47077","4397"
"Howell, Missouri","29091","4395"
"Cherokee, Kansas","20021","4395"
"Platte, Wyoming","56031","4394"
"Morris, Kansas","20127","4394"
"Davidson, North Carolina","37057","4393"
"Bear Lake, Idaho","16007","4393"
"Crook, Oregon","41013","4393"
"New Madrid, Missouri","29143","4393"
"Cleveland, North Carolina","37045","4393"
"Person, North Carolina","37145","4392"
"Caswell, North Carolina","37033","4392"
"Obion, Tennessee","47131","4392"
"Geary, Kansas","20061","4391"
"Custer, Nebraska","31041","4391"
"Lauderdale, Alabama","1077","4391"
"Lawrence, Alabama","1079","4391"
"Natrona, Wyoming","56025","4391"
"McPherson, Nebraska","31117","4390"
"Douglas, Missouri","29067","4388"
"Albany, Wyoming","56001","4387"
"Lincoln, North Carolina","37109","4387"
"Howard, Nebraska","31093","4387"
"Hamilton, Nebraska","31081","4386"
"Guilford, North Carolina","37081","4386"
"Decatur, Tennessee","47039","4386"
"Danville, Virginia","51590","4386"
"Granville, North Carolina","37077","4385"
"Carteret, North Carolina","37031","4385"
"Hot Springs, Wyoming","56017","4384"
"Jasper, Missouri","29097","4383"
"Carroll, Tennessee","47017","4383"
"Greene, North Carolina","37079","4383"
"Christian, Missouri","29043","4383"
"Carter, Missouri","29035","4383"
"Halifax, Virginia","51083","4382"
"Neosho, Kansas","20133","4381"
"Oneida, Idaho","16071","4380"
"Morgan, Alabama","1103","4380"
"Wilson, North Carolina","37195","4380"
"Craven, North Carolina","37049","4380"
"Fulton, Kentucky","21075","4379"
"Wayne, Tennessee","47181","4379"
"Box Butte, Nebraska","31013","4379"
"Jerome, Idaho","16053","4379"
"Stoddard, Missouri","29207","4379"
"Lawrence, Missouri","29109","4378"
"Woodson, Kansas","20207","4378"
"Logan, Nebraska","31113","4378"
"Weakley, Tennessee","47183","4377"
"Marshall, Alabama","1095","4377"
"Washington, Kansas","20201","4376"
"Chattooga, Georgia","13055","4376"
"Fillmore, Nebraska","31059","4375"
"Franklin, North Carolina","37069","4375"
"Crawford, Kansas","20037","4373"
"Cassia, Idaho","16031","4372"
"Riley, Kansas","20161","4372"
"Gooding, Idaho","16047","4371"
"Shannon, Missouri","29203","4370"
"Grant, Nebraska","31075","4370"
"Rockingham, North Carolina","37157","4369"
"Greene, Missouri","29077","4369"
"Vance, North Carolina","37181","4369"
"Polk, North Carolina","37149","4368"
"Perry, Tennessee","47135","4368"
"Davie, North Carolina","37059","4367"
"Pittsylvania, Virginia","51143","4367"
"Barton, Missouri","29011","4367"
"Lyon, Kansas","20111","4367"
"Wright, Missouri","29229","4367"
"Dade, Missouri","29057","4366"
"Limestone, Alabama","1083","4366"
"Nash, North Carolina","37127","4365"
"Wayne, Missouri","29223","4365"
"Sioux, Nebraska","31165","4364"
"Merrick, Nebraska","31121","4364"
"Webster, Missouri","29225","4364"
"Mississippi, Missouri","29133","4364"
